Analytics,Business,Coding,DevOps,ML/AI,Marketing,Maths,Mgmt.,Prod_mgmt.,Soft_Skills,WebD,Security_Network
,itil,,spark,plotly,,,,,hands on work experience,node.js,
,knowledge of agile process and principles,,spotfire,predictive modeling,,,,,high tolerance to ambiguity,,
,knowledge of ticketing tools,,spss,price modeling,,,,,initiative,,
,lead generation,,sqoop,pyspark,,,,,integrity and trust,,
,lean manufacturing processes,,tableau,pytorch,,,,,interpersonal skills,,
,logistics management,,technical concept understanding,random forest,,,,,3rd party ad serving platforms,,
,manage platform operations,,third party integration,recommender system,,,,,seo skills,,
,manage warehouse activities,,ui,regression,,,,,social media platforms,,
,managing and measuring work,,"understanding of ""web 2.0""",sampling techniques,,,,,knowledge of technology,,
,managing marketing databases,,ux,speech recognition,,,,,knowledge of web applications,,
,marketing,,vba,supervised learning,,,,,leadership,,
,marketing automation,,web apps,svm,,,,,mentoring/coaching skills,,
,minimize loss,,web product,tensorflow,,,,,monitoring skills,,
,ms excel,,weka,text image processing,,,,,multi task,,
,ms office,,jenkins,theano,,,,,negotiation skills,,
,new product launch,,kubernetes,time series analysis,,,,,one extra international language apart from english,,
,object oriented design,,ansible,unsupervised_learning,,,,,open ended problem solution,,
,partner relationship management,,ci/cd pipelines,user profiling,,,,,organized,,
,performance metrics,,azure,xgboost,,,,,organizational,,
,problem structuring,,,iot,,,,,organized/ detail oriented,,
,process automation,,,fastapi,,,,,ownership,,
,process management,,,natural language processing,,,,,people focused,,
,process oriented,,,reinforcement learning,,,,,people orientation,,
,project management,,,,,,,,perseverance,,
,property sourcing,,,,,,,,presentation,,
,qualitative & quantitative research,,,,,,,,problem solver,,
,reporting/forecasting,,,,,,,,problem solving and decision making,,
,resource planning,,,,,,,,process orientation,,
,revenue management,,,,,,,,product ownership,,
,sdlc,,,,,,,,quick/good learner,,
,six sigma certification,,,,,,,,result-oriented,,
,social media/ web services,,,,,,,,should be able to work independently,,
,sop creation and implementation,,,,,,,,social media best practices,,
,strategic thinking,,,,,,,,stakeholder management,,
,strategies,,,,,,,,supervising skills,,
,supply chain,,,,,,,,task oriented,,
,task prioritization,,,,,,,,team management,,
,techniques to improve stock availability,,,,,,,,time management skill,,
,timely task completion,,,,,,,,user understanding,,
,understanding of claims operations,,,,,,,,work under pressure in short timelines,,
,updated with latest industry techniques,,,,,,,,writing skills,,
,website optimization,,,,,,,,english,,
,zero to one problems,,,,,,,,communication,,
,hr manager,,,,,,,,problem solving,,
,business strategy,,,,,,,,time management,,
,market research,,,,,,,,adaptability,,
,financial analysis,,,,,,,,,,
,sales management,,,,,,,,,,
,business development,,,,,,,,,,
